brand,product_name,product_url,product_image_url,on_sale_flag,sale_price,msrp_price,sale_perc_off
Blank NYC,Jumpsuit w/ Ruffle Detail,https://www.zappos.com/p/blank-nyc-jumpsuit-w-ruffle-detail-the-one/product/9489968/color/544009,https://m.media-amazon.com/images/I/717EZ8bvbsL.AC_SX1200.jpg,1,89.99,148.0,39.0
Blue by Betsey Johnson,Kassie,https://www.zappos.com/p/blue-by-betsey-johnson-kassie-red-multi/product/9492197/color/590,https://m.media-amazon.com/images/I/814o2ReEo5L.AC_SX600.jpg,1,89.0,89.0,0.0
Matt & Nat,Brave Micro - Dwell,https://www.zappos.com/p/matt-nat-brave-micro-dwell-chai/product/9478594/color/29228,https://m.media-amazon.com/images/I/711GstLp0gL.AC_SX600.jpg,1,94.95,94.95,0.0
Swatch,Redvremya - SO29R700,https://www.zappos.com/p/swatch-redvremya-so29r700-red/product/9494419/color/585,https://m.media-amazon.com/images/I/61OBotPVwmL.AC_SX600.jpg,1,80.0,80.0,0.0
8 Other Reasons,Essential Hoop Earrings Set,https://www.zappos.com/p/8-other-reasons-essential-hoop-earrings-set-gold/product/9490902/color/385,https://m.media-amazon.com/images/I/71mMl-n+rCL.AC_SX600.jpg,1,73.0,73.0,0.0
P.J. Salvage,City Nights Starry Pj Set,https://www.zappos.com/p/p-j-salvage-city-nights-starry-pj-set-black/product/9455104/color/3,https://m.media-amazon.com/images/I/71Yo66eRe+L.AC_SX600.jpg,1,99.0,99.0,0.0
Dolce Vita,Pillar,https://www.zappos.com/p/dolce-vita-pillar-leopard-faux-fur/product/9479180/color/50414,https://m.media-amazon.com/images/I/714zY7VLIWL.AC_SX600.jpg,1,59.95,59.95,0.0
Happy Socks,4-Pack Disney Holiday Gift Set,https://www.zappos.com/p/happy-socks-4-pack-disney-holiday-gift-set-dark-red/product/9438728/color/4188,https://m.media-amazon.com/images/I/810xz0FJFiL.AC_SX600.jpg,1,64.0,64.0,0.0
Topo Designs,Mini Quick Pack,https://www.zappos.com/p/topo-designs-mini-quick-pack-natural-canvas/product/9199844/color/7335,https://m.media-amazon.com/images/I/71njJ46twYL.AC_SX600.jpg,1,54.95,54.95,0.0
Converse,Chuck Taylor All Star Padded Collar Boot - Hi,https://www.zappos.com/p/converse-chuck-taylor-all-star-padded-collar-boot-hi-dark-root-white-black/product/9111561/color/872161,https://m.media-amazon.com/images/I/71P0ioZ59wL.AC_SX600.jpg,1,80.0,80.0,0.0
